event,price,pricePerSquareFoot,city,state,yearBuilt,streetAddress,zipcode,currency,livingArea,bathrooms,bedrooms,parking,garageSpaces,hasGarage,levels,pool,spa,isNewConstruction,homeType,county
Listed for sale,495000,476,Chula Vista,CA,2002,2539 Garnet Peak Rd,91915,USD,1039,2,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,999900,296,Chula Vista,CA,2005,2777 Rambling Vista Rd,91915,USD,3381,5,5,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,529900,469,Chula Vista,CA,2002,1302 Pinnacle Peak Dr,91915,USD,1131,3,2,1,1,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,950000,334,Chula Vista,CA,2000,2265 Green River Dr,91915,USD,2846,5,5,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,975000,307,Chula Vista,CA,2002,2550 Fern Valley Rd,91915,USD,3175,3,5,1,2,1,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,635000,485,Chula Vista,CA,2004,2772 Bear Valley Rd,91915,USD,1310,3,2,1,2,1,Two,0,1,0,CONDO,San Diego County
Listed for sale,1850000,523,Carlsbad,CA,2004,2150 Twain Ave,92008,USD,3535,5,5,1,3,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,735000,384,Carlsbad,CA,1976,4718 Amberwood Ct,92008,USD,1916,3,3,1,2,1,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,2200000,651,Carlsbad,CA,1959,3275 Meadowlark Ln,92008,USD,3380,4,5,1,2,1,Two,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1107000,587,Carlsbad,CA,1963,1801 Ratcliff Rd,92008,USD,1885,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,3750000,779,Carlsbad,CA,1981,3819 Skyline Rd,92008,USD,4812,6,5,1,2,1,Three Or More,1,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1495000,997,San Diego,CA,1950,4946 W Mountain View Dr,92116,USD,1500,3,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,899900,877,San Diego,CA,1926,4616 36th St,92116,USD,1026,1,3,1,0,0,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,774900,936,San Diego,CA,1930,3204 Madison Ave,92116,USD,828,2,2,1,0,0,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,1600000,537,San Diego,CA,1951,4748 Panorama Dr,92116,USD,2982,3,3,1,2,1,Three Or More,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1300000,524,San Diego,CA,1926,4774 Oregon St,92116,USD,2479,0,0,1,1,1,0,0,0,0,MULTI_FAMILY,San Diego County
Listed for sale,1199000,736,San Diego,CA,1909,4656 Georgia St,92116,USD,1630,3,3,1,1,1,Two,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,1199950,1049,San Diego,CA,1920,4734 Panorama Dr,92116,USD,1144,1,3,1,1,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1550000,945,San Diego,CA,1950,4860 W Alder Dr,92116,USD,1640,2,4,1,1,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1399000,843,San Diego,CA,1922,4764 Hawley Blvd,92116,USD,1660,3,4,1,0,0,One,0,0,0,SINGLE_FAMILY,San Diego County
Listed for sale,399000,905,San Diego,CA,1926,4587 Campus Ave,92116,USD,441,1,1,0,0,0,One,0,1,0,CONDO,San Diego County
Listed for sale,1450000,747,San Diego,CA,1948,4891 E Alder Dr,92116,USD,1941,3,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1399000,0,San Diego,CA,1922,4764-66 Hawley Blvd,92116,USD,0,0,0,0,0,0,One,0,0,0,MULTI_FAMILY,San Diego County
Listed for sale,3200000,1023,Solana Beach,CA,1973,766 Ocean Surf Dr,92075,USD,3128,5,4,1,0,0,Two,0,1,0,TOWNHOUSE,San Diego County
Listed for sale,3300000,975,Solana Beach,CA,1974,519 S Nardo Ave,92075,USD,3384,3,4,1,2,1,Two,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1785000,1007,Solana Beach,CA,1968,618 Sonrisa St,92075,USD,1773,2,4,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,1500000,764,Solana Beach,CA,1975,1373 Camino Teresa,92075,USD,1964,2,3,1,2,1,One,0,1,0,SINGLE_FAMILY,San Diego County
Listed for sale,2799000,782,Solana Beach,CA,1971,1422 San Ignacio,92075,USD,3578,6,5,1,3,1,Multi/Split,1,1,0,SINGLE_FAMILY,San Diego County
